PRODUCT ID,CHAIR TYPE,WOOD,LENGTH(INCHES),WIDTH(INCHES),HEIGHT(INCHES),WOOD PRICE(PER CUBIC),QUANTITY OF WOOD USED(IN CUBIC),LABOUR CHARGE,PRICE
NLC102,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1540,3940
TKZ211,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,669,4269
FIB692,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1108,4608
CVD636,BAR CHAIR,TEAK,18,18,28,1400,1.5,519,2619
WBM134,BAR CHAIR,ACACIA,18,18,28,800,1.5,571,1771
SSD855,BAR CHAIR,ACACIA,18,18,28,800,1.5,666,1866
LDI880,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1092,7092
XHZ139,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1067,7067
ANV909,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,950,6950
RAD511,ROCKING CHAIR,TEAK,25,25,45,1400,3,1544,5744
BJG802,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,545,5345
JKD157,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,944,2944
LMA250,DINING CHAIR,TEAK,34,18,16,1400,2,525,3325
BRV196,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,699,4299
FXJ302,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1418,3818
TDN713,ARM CHAIR,MAHAGONY,35,35,36,800,3,1809,4209
WRA449,ARM CHAIR,ACACIA,35,35,36,800,3,1808,4208
IUZ941,ARM CHAIR,TEAK,35,35,36,1400,3,1850,6050
ADR266,DINING CHAIR,TEAK,34,18,16,1400,2,560,3360
TWO326,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,2063,9263
LDH281,DINING CHAIR,ACACIA,34,18,16,800,2,617,2217
DUC487,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1269,8469
GMK975,RECLINER CHAIR,ACACIA,48,26,28,800,3,1732,4132
DLN793,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,2083,9283
QFC433,DINING CHAIR,TEAK,34,18,16,1400,2,655,3455
FOM302,BAR CHAIR,ACACIA,18,18,28,800,1.5,670,1870
GCD441,ARM CHAIR,TEAK,35,35,36,1400,3,2186,6386
WSU563,BAR CHAIR,ACACIA,18,18,28,800,1.5,654,1854
JWP142,DINING CHAIR,ACACIA,34,18,16,800,2,642,2242
PHD739,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,624,5424
URT915,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1476,8676
RVY417,BAR CHAIR,TEAK,18,18,28,1400,1.5,585,2685
RWP317,ARM CHAIR,ACACIA,35,35,36,800,3,1845,4245
APC798,RECLINER CHAIR,ACACIA,48,26,28,800,3,1840,4240
XQN369,ARM CHAIR,TEAK,35,35,36,1400,3,1989,6189
WFW788,BAR CHAIR,TEAK,18,18,28,1400,1.5,632,2732
WYM972,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,983,2983
LHT693,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,563,1763
PJH808,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,505,5305
XLH345,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,562,4162
EDA503,DINING CHAIR,MAHAGONY,34,18,16,800,2,700,2300
ZYG398,DINING CHAIR,ACACIA,34,18,16,800,2,562,2162
LJB898,BAR CHAIR,ACACIA,18,18,28,800,1.5,539,1739
YXO439,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,606,5406
YNE115,DINING CHAIR,MAHAGONY,34,18,16,800,2,503,2103
FPC479,ARM CHAIR,ACACIA,35,35,36,800,3,1925,4325
EGY655,BAR CHAIR,ACACIA,18,18,28,800,1.5,690,1890
IWK588,ARM CHAIR,TEAK,35,35,36,1400,3,2072,6272
QBB507,BAR CHAIR,TEAK,18,18,28,1400,1.5,674,2774
OYV393,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,584,4184
DPO789,RECLINER CHAIR,TEAK,48,26,28,1400,3,1914,6114
LWW256,ARM CHAIR,ACACIA,35,35,36,800,3,1579,3979
SFA148,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1622,8822
WSR384,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,963,4463
HLY675,BAR CHAIR,TEAK,18,18,28,1400,1.5,547,2647
BCB100,ARM CHAIR,MAHAGONY,35,35,36,800,3,1607,4007
PDI831,DINING CHAIR,MAHAGONY,34,18,16,800,2,798,2398
MKM549,BAR CHAIR,ACACIA,18,18,28,800,1.5,506,1706
CCL216,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,958,2958
LOP874,BAR CHAIR,ACACIA,18,18,28,800,1.5,659,1859
MMS520,RECLINER CHAIR,ACACIA,48,26,28,800,3,1987,4387
WIQ923,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1151,4651
KWB616,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,684,5484
LCQ785,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,514,4114
SGL285,DINING CHAIR,MAHAGONY,34,18,16,800,2,684,2284
YDE939,BAR CHAIR,ACACIA,18,18,28,800,1.5,501,1701
LIF940,ROCKING CHAIR,ACACIA,25,25,45,800,3,1510,3910
FKH310,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1039,3039
FHI871,ARM CHAIR,TEAK,35,35,36,1400,3,2117,6317
CHK397,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,996,4496
LHB707,ARM CHAIR,ACACIA,35,35,36,800,3,2067,4467
FFY648,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1215,3615
GEF153,RECLINER CHAIR,TEAK,48,26,28,1400,3,1900,6100
BBE225,RECLINER CHAIR,ACACIA,48,26,28,800,3,1920,4320
XQK540,ARM CHAIR,MAHAGONY,35,35,36,800,3,1863,4263
ZDB920,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,520,5320
KGT124,BAR CHAIR,TEAK,18,18,28,1400,1.5,592,2692
YBT630,ARM CHAIR,TEAK,35,35,36,1400,3,1913,6113
MWW172,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1379,8579
UNM380,DINING CHAIR,MAHAGONY,34,18,16,800,2,737,2337
GTV888,ARM CHAIR,TEAK,35,35,36,1400,3,1619,5819
PJV945,BAR CHAIR,ACACIA,18,18,28,800,1.5,665,1865
FPH920,ROCKING CHAIR,TEAK,25,25,45,1400,3,1433,5633
VDL612,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1877,4277
DGK588,DINING CHAIR,ACACIA,34,18,16,800,2,800,2400
VLZ389,RECLINER CHAIR,TEAK,48,26,28,1400,3,1735,5935
FFX114,RECLINER CHAIR,TEAK,48,26,28,1400,3,1716,5916
XTO986,ROCKING CHAIR,TEAK,25,25,45,1400,3,1372,5572
DWB653,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,563,4163
BWZ389,ROCKING CHAIR,ACACIA,25,25,45,800,3,1509,3909
DCK631,BAR CHAIR,TEAK,18,18,28,1400,1.5,645,2745
EAK376,BAR CHAIR,TEAK,18,18,28,1400,1.5,692,2792
PPB672,BAR CHAIR,ACACIA,18,18,28,800,1.5,545,1745
KHT222,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1944,9144
BNU449,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1072,3072
RAD369,ARM CHAIR,ACACIA,35,35,36,800,3,1856,4256
UOV172,DINING CHAIR,ACACIA,34,18,16,800,2,574,2174
UHU718,BAR CHAIR,ACACIA,18,18,28,800,1.5,581,1781
ZIC906,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1182,7182
VWH336,ARM CHAIR,TEAK,35,35,36,1400,3,1668,5868
AFF721,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1545,8745
ESL549,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1125,3125
UQX339,ROCKING CHAIR,ACACIA,25,25,45,800,3,1502,3902
KNS490,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,683,5483
BTD175,DINING CHAIR,TEAK,34,18,16,1400,2,615,3415
QHQ467,ARM CHAIR,MAHAGONY,35,35,36,800,3,1664,4064
EAI687,ROCKING CHAIR,TEAK,25,25,45,1400,3,1404,5604
FYB292,DINING CHAIR,MAHAGONY,34,18,16,800,2,682,2282
ALB369,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,773,5573
WET215,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1032,3032
OUC178,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1597,8797
VXO920,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,542,1742
ZOP959,ROCKING CHAIR,ACACIA,25,25,45,800,3,1440,3840
HYO160,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,649,4249
DAU648,ROCKING CHAIR,TEAK,25,25,45,1400,3,1546,5746
RFF268,ARM CHAIR,MAHAGONY,35,35,36,800,3,1779,4179
XMA314,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,644,5444
JRF166,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1735,8935
AIW780,ARM CHAIR,TEAK,35,35,36,1400,3,2080,6280
HLD315,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,586,1786
LDG520,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,560,1760
TVQ848,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1957,9157
PRL824,BAR CHAIR,ACACIA,18,18,28,800,1.5,686,1886
JAB391,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1111,3111
ZDC559,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1520,3920
OQK468,ROCKING CHAIR,ACACIA,25,25,45,800,3,1306,3706
DTF340,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1498,8698
TIH981,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1015,4515
UBE991,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1824,4224
WOG223,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1679,8879
MQL330,ARM CHAIR,ACACIA,35,35,36,800,3,1610,4010
NXW912,ARM CHAIR,TEAK,35,35,36,1400,3,1747,5947
FAW129,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1744,4144
LEV578,BAR CHAIR,ACACIA,18,18,28,800,1.5,637,1837
STQ406,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1371,3771
TDT757,DINING CHAIR,ACACIA,34,18,16,800,2,604,2204
PFX721,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1992,9192
JBW643,ARM CHAIR,MAHAGONY,35,35,36,800,3,1913,4313
OUR355,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,700,1900
LYC887,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,2086,9286
GVC636,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1721,4121
BIT875,RECLINER CHAIR,TEAK,48,26,28,1400,3,1726,5926
EUI992,BAR CHAIR,TEAK,18,18,28,1400,1.5,543,2643
LBE132,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,505,4105
WTV930,ARM CHAIR,ACACIA,35,35,36,800,3,2048,4448
UWX134,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,695,1895
KXG693,DINING CHAIR,TEAK,34,18,16,1400,2,679,3479
QHC214,DINING CHAIR,TEAK,34,18,16,1400,2,545,3345
YSQ419,DINING CHAIR,TEAK,34,18,16,1400,2,586,3386
CQD797,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1205,3605
ZBR790,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1140,3140
FZG254,ARM CHAIR,MAHAGONY,35,35,36,800,3,2106,4506
IOA622,DINING CHAIR,MAHAGONY,34,18,16,800,2,773,2373
NPD153,ARM CHAIR,MAHAGONY,35,35,36,800,3,2028,4428
EOD969,ARM CHAIR,MAHAGONY,35,35,36,800,3,2043,4443
HEE522,DINING CHAIR,TEAK,34,18,16,1400,2,529,3329
VDC987,ARM CHAIR,TEAK,35,35,36,1400,3,1951,6151
RFR822,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1678,8878
JLW568,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1888,9088
QBZ132,BAR CHAIR,ACACIA,18,18,28,800,1.5,510,1710
URP881,DINING CHAIR,TEAK,34,18,16,1400,2,541,3341
KZT849,ROCKING CHAIR,TEAK,25,25,45,1400,3,1276,5476
UFU441,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1389,3789
MOO936,RECLINER CHAIR,TEAK,48,26,28,1400,3,1800,6000
PRE326,BAR CHAIR,ACACIA,18,18,28,800,1.5,577,1777
FNV596,DINING CHAIR,TEAK,34,18,16,1400,2,668,3468
KAH774,ARM CHAIR,ACACIA,35,35,36,800,3,2048,4448
BBT857,DINING CHAIR,ACACIA,34,18,16,800,2,577,2177
PGF771,ARM CHAIR,TEAK,35,35,36,1400,3,2139,6339
PTZ518,DINING CHAIR,ACACIA,34,18,16,800,2,683,2283
OFY680,ARM CHAIR,TEAK,35,35,36,1400,3,1535,5735
IAW814,BAR CHAIR,TEAK,18,18,28,1400,1.5,634,2734
JJI396,BAR CHAIR,ACACIA,18,18,28,800,1.5,569,1769
BHC554,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1707,4107
SHQ224,ARM CHAIR,TEAK,35,35,36,1400,3,1529,5729
DGP573,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1890,4290
MOH541,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1479,3879
YWE541,DINING CHAIR,TEAK,34,18,16,1400,2,551,3351
VMM528,ARM CHAIR,TEAK,35,35,36,1400,3,2169,6369
RVS786,BAR CHAIR,TEAK,18,18,28,1400,1.5,695,2795
OMU997,ARM CHAIR,TEAK,35,35,36,1400,3,1962,6162
DFG304,ARM CHAIR,ACACIA,35,35,36,800,3,2179,4579
LAM723,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,971,6971
LKV360,RECLINER CHAIR,TEAK,48,26,28,1400,3,1995,6195
YIM523,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1040,7040
MHS474,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1085,3085
BNZ486,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,588,1788
RZR638,ARM CHAIR,ACACIA,35,35,36,800,3,1830,4230
UFQ130,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1004,4504
SEY850,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1100,3100
KGP509,DINING CHAIR,MAHAGONY,34,18,16,800,2,632,2232
LZV506,DINING CHAIR,ACACIA,34,18,16,800,2,545,2145
ABA542,RECLINER CHAIR,ACACIA,48,26,28,800,3,1852,4252
PAX533,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1928,9128
ZCH443,RECLINER CHAIR,ACACIA,48,26,28,800,3,1877,4277
SEZ187,ROCKING CHAIR,TEAK,25,25,45,1400,3,1463,5663
MZA543,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1578,3978
JOB231,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1527,3927
JKG325,DINING CHAIR,ACACIA,34,18,16,800,2,639,2239
UUQ921,RECLINER CHAIR,TEAK,48,26,28,1400,3,1716,5916
STH991,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,506,4106
BAL664,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,928,2928
GRQ273,ARM CHAIR,ACACIA,35,35,36,800,3,1559,3959
JRM799,ARM CHAIR,TEAK,35,35,36,1400,3,1620,5820
EXU889,RECLINER CHAIR,TEAK,48,26,28,1400,3,1719,5919
PEB177,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1550,8750
WJT444,RECLINER CHAIR,ACACIA,48,26,28,800,3,1974,4374
UOP599,ARM CHAIR,ACACIA,35,35,36,800,3,2152,4552
NUZ470,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1291,3691
IIB344,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,501,4101
GPG105,ROCKING CHAIR,ACACIA,25,25,45,800,3,1395,3795
BTH312,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1137,3137
DAA330,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,642,4242
EAF267,ARM CHAIR,TEAK,35,35,36,1400,3,2162,6362
JBQ250,DINING CHAIR,TEAK,34,18,16,1400,2,685,3485
LHS634,DINING CHAIR,TEAK,34,18,16,1400,2,767,3567
JZN868,DINING CHAIR,TEAK,34,18,16,1400,2,579,3379
YFO618,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,596,4196
NNK506,RECLINER CHAIR,TEAK,48,26,28,1400,3,1953,6153
COP200,RECLINER CHAIR,TEAK,48,26,28,1400,3,1874,6074
KBX977,BAR CHAIR,ACACIA,18,18,28,800,1.5,641,1841
EHE294,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1140,4640
BTN709,ARM CHAIR,TEAK,35,35,36,1400,3,1807,6007
RNM949,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1043,4543
EQA517,ARM CHAIR,TEAK,35,35,36,1400,3,1650,5850
FZK846,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1891,9091
YAK618,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1419,3819
ORA630,ARM CHAIR,ACACIA,35,35,36,800,3,1974,4374
BMF199,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1265,3665
MRB169,DINING CHAIR,MAHAGONY,34,18,16,800,2,593,2193
WTA198,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1587,8787
ULM973,BAR CHAIR,TEAK,18,18,28,1400,1.5,527,2627
ZAE844,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1147,4647
IRH503,DINING CHAIR,TEAK,34,18,16,1400,2,555,3355
TIY208,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,928,4428
BQX283,DINING CHAIR,MAHAGONY,34,18,16,800,2,680,2280
KOA865,ROCKING CHAIR,ACACIA,25,25,45,800,3,1276,3676
QSC314,BAR CHAIR,TEAK,18,18,28,1400,1.5,656,2756
HQC518,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1849,4249
ZLJ840,DINING CHAIR,ACACIA,34,18,16,800,2,513,2113
QRR585,ROCKING CHAIR,TEAK,25,25,45,1400,3,1590,5790
CXN805,DINING CHAIR,ACACIA,34,18,16,800,2,569,2169
WIB913,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,2044,9244
NQA451,ARM CHAIR,ACACIA,35,35,36,800,3,2161,4561
XEI201,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,2000,4400
VME556,RECLINER CHAIR,ACACIA,48,26,28,800,3,1812,4212
IRB763,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,607,1807
QFJ830,RECLINER CHAIR,TEAK,48,26,28,1400,3,1991,6191
GTG723,DINING CHAIR,MAHAGONY,34,18,16,800,2,764,2364
MFP774,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,577,4177
BVK422,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1840,9040
EYH263,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1151,7151
JZF770,ARM CHAIR,MAHAGONY,35,35,36,800,3,1521,3921
WCI219,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,1697,8897
NIK670,BAR CHAIR,TEAK,18,18,28,1400,1.5,531,2631
OUG666,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1374,8574
UFL991,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,536,1736
SEZ494,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1114,3114
ZKV295,ARM CHAIR,TEAK,35,35,36,1400,3,2118,6318
SCU170,ARM CHAIR,MAHAGONY,35,35,36,800,3,1685,4085
JNM982,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1376,3776
ZBJ937,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1825,9025
XTM310,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1019,3019
UWW371,DINING CHAIR,TEAK,34,18,16,1400,2,573,3373
LGP795,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1532,3932
AOJ903,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1969,9169
QXF370,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1034,4534
ODJ546,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,576,1776
RTK838,ROCKING CHAIR,TEAK,25,25,45,1400,3,1403,5603
FBW456,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1265,3665
YSW921,BAR CHAIR,TEAK,18,18,28,1400,1.5,546,2646
JSC845,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1488,8688
ZFX475,DINING CHAIR,TEAK,34,18,16,1400,2,578,3378
FHQ520,RECLINER CHAIR,ACACIA,48,26,28,800,3,1833,4233
FFQ182,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,556,5356
JSI555,ARM CHAIR,MAHAGONY,35,35,36,800,3,1869,4269
ULR780,ARM CHAIR,TEAK,35,35,36,1400,3,1766,5966
ZON878,RECLINER CHAIR,ACACIA,48,26,28,800,3,1703,4103
CWH584,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,717,5517
FIN312,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1727,8927
LRE255,DINING CHAIR,TEAK,34,18,16,1400,2,552,3352
KNI702,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1909,9109
PNO423,BAR CHAIR,ACACIA,18,18,28,800,1.5,681,1881
KHS351,BAR CHAIR,ACACIA,18,18,28,800,1.5,577,1777
WLH941,RECLINER CHAIR,TEAK,48,26,28,1400,3,1726,5926
KBC860,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,674,4274
DGL742,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1704,8904
VHR403,BAR CHAIR,TEAK,18,18,28,1400,1.5,591,2691
IPN179,DINING CHAIR,MAHAGONY,34,18,16,800,2,576,2176
KOU687,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1747,4147
ZDX942,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1816,9016
BHA514,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,609,1809
BQK738,RECLINER CHAIR,ACACIA,48,26,28,800,3,1791,4191
KAM707,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,541,5341
YSW267,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,643,4243
PYQ975,DINING CHAIR,MAHAGONY,34,18,16,800,2,583,2183
OHW534,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1065,4565
HUM861,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,661,1861
JXH805,ROCKING CHAIR,TEAK,25,25,45,1400,3,1416,5616
DUW687,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,530,1730
SQQ528,LOUNGE CHAIR,ACACIA,37,35,40,800,2.5,1101,3101
YAD282,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,641,1841
TFA473,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,632,4232
RRA303,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,689,4289
SNA147,RECLINER CHAIR,TEAK,48,26,28,1400,3,1819,6019
QXV507,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1342,3742
ZTS957,ARM CHAIR,TEAK,35,35,36,1400,3,1686,5886
KGV941,RECLINER CHAIR,TEAK,48,26,28,1400,3,1742,5942
ZTF690,DINING CHAIR,MAHAGONY,34,18,16,800,2,763,2363
HFI466,RECLINER CHAIR,TEAK,48,26,28,1400,3,1821,6021
MIO850,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1241,3641
PMT388,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1098,3098
CCE508,LOUNGE CHAIR,INDIAN ROSEWOOD,37,35,40,2400,2.5,1084,7084
CXK915,ARM CHAIR,TEAK,35,35,36,1400,3,1883,6083
VUK236,ARM CHAIR,ACACIA,35,35,36,800,3,1744,4144
DBI281,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,711,5511
ITW969,RECLINER CHAIR,TEAK,48,26,28,1400,3,1903,6103
JUL816,RECLINER CHAIR,ACACIA,48,26,28,800,3,1712,4112
NGF881,RECLINER CHAIR,TEAK,48,26,28,1400,3,1915,6115
NAR302,ARM CHAIR,ACACIA,35,35,36,800,3,1603,4003
IMI909,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1153,4653
IRL282,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1950,4350
MXE423,RECLINER CHAIR,INDIAN ROSEWOOD,48,26,28,2400,3,1759,8959
XSD521,DINING CHAIR,TEAK,34,18,16,1400,2,606,3406
FCX801,LOUNGE CHAIR,TEAK,37,35,40,1400,2.5,1087,4587
NTU923,DINING CHAIR,ACACIA,34,18,16,800,2,672,2272
YCV499,BAR CHAIR,MAHAGONY,18,18,28,800,1.5,536,1736
ACW155,ROCKING CHAIR,MAHAGONY,25,25,45,800,3,1291,3691
YSE261,ARM CHAIR,MAHAGONY,35,35,36,800,3,2176,4576
ZJD624,ARM CHAIR,MAHAGONY,35,35,36,800,3,1889,4289
TZH222,DINING CHAIR,INDIAN ROSEWOOD,34,18,16,2400,2,561,5361
LSR691,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,549,4149
BIS951,RECLINER CHAIR,MAHAGONY,48,26,28,800,3,1984,4384
XCG437,DINING CHAIR,ACACIA,34,18,16,800,2,705,2305
EWC381,ROCKING CHAIR,INDIAN ROSEWOOD,25,25,45,2400,3,1308,8508
SHA559,ARM CHAIR,INDIAN ROSEWOOD,35,35,36,2400,3,2188,9388
RIM789,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,1105,3105
CQV806,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,596,4196
FWL974,DINING CHAIR,MAHAGONY,34,18,16,800,2,537,2137
TWL278,ARM CHAIR,TEAK,35,35,36,1400,3,1771,5971
TKR123,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,557,4157
CVU980,BAR CHAIR,ACACIA,18,18,28,800,1.5,594,1794
PBN294,BAR CHAIR,INDIAN ROSEWOOD,18,18,28,2400,1.5,525,4125
WGS683,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,972,2972
XGP373,ROCKING CHAIR,TEAK,25,25,45,1400,3,1236,5436
VZG773,LOUNGE CHAIR,MAHAGONY,37,35,40,800,2.5,918,2918
PSB562,BAR CHAIR,TEAK,18,18,28,1400,1.5,699,2799
BKJ156,ROCKING CHAIR,TEAK,25,25,45,1400,3,1317,5517
